Designator,Mid X,Mid Y,Layer,Rotation
C1,210.175,-89.125,top,90
C2,207.575,-89.625,top,90
C3,194.675,-93.725,top,180
C4,201.075,-86.825,top,0
C5,201.075,-83.725,top,0
C6,201.82,-102.65,top,180
C7,204.05,-106.245,top,90
C8,204.8,-109.85,top,0
C9,204.8,-110.55,top,0
C10,201.8,-115.05,top,180
C11,201.7,-117.395,top,90
C12,195.445,-117.405,top,90
C13,206.7,-127.05,top,180
C14,195.28,-102.65,top,0
C15,206.2,-110.145,top,-90
C16,206.2,-105.05,top,-90
FB1,207.3,-120.55,top,0
L1,194.2,-87.8,top,180
R4,200.45,-118.145,top,-90
R5,202.95,-118.12,top,90
R6,194.19,-118.12,top,90
R7,196.7,-118.12,top,-90
R8,206.7,-125.05,top,0
R9,206.7,-126.05,top,0
R10,192.83,-113.1,top,0
R11,205.15,-107.57,top,-90
T1,198.555,-124.95,top,-90
U2,198.555,-108.85,top,0
U3,203.875,-91.125,top,180
X1,208.445288,-106.159864,top,-127.5
