Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10u,
"C10, C11, C12, C13, C14, C6, C7, C8, C9",0201,9,0.1uF,
"C15, C16",0201,2,20pF,
"C2, C3",0603,2,0.1u,
"C4, C5",1206,2,22u,
FB1,0603,1,FerriteBead_Small,
J1,RJ45_Socket,1,CRJ032-1-TH,
J2,PinSocket_2x20_P2.54mm_Vertical,1,Pi Header,
L1,WE-XHMI_6060,1,4.7u,
R10,0201,1,2.32k 1%,
R11,0201,1,10M,
"R4, R5, R6, R7",0201,4,49.9,
"R8, R9",0201,2,75,
T1,XFMR_PT61018PEL,1,PT61018PEL,
U2,SSOP-28_5.3x10.2mm_P0.65mm,1,ENC28J60x-SS,
U3,SOIC_05WU-7_DIO,1,AP63205WU-7,
X1,X322525MOB4SI,1,~,
